"outcome","outcome_label","horizon","estimate","std_error","lower","upper","n","nw_lag","r_squared","estimated"
"inflation","Underlying inflation (quarterly ppt)",3,0.186879624445494,0.0994372225634,0.023319948258105,0.350439300632883,93,4,0.211028596715324,TRUE
"inflation","Underlying inflation (quarterly ppt)",4,0.0861529364638032,0.10733393960856,-0.0903956833963266,0.262701556323933,92,5,0.189433218470437,TRUE
"inflation","Underlying inflation (quarterly ppt)",5,0.0466227104541721,0.131741222791398,-0.170072317673281,0.263317738581625,91,6,0.177070666315318,TRUE
"inflation","Underlying inflation (quarterly ppt)",6,0.198773254205211,0.137169461908257,-0.0268504327215678,0.424396941131989,90,7,0.127796820134348,TRUE
"inflation","Underlying inflation (quarterly ppt)",7,0.176215888919035,0.164367977251491,-0.0941453746177564,0.446577152455826,89,8,0.069925432916751,TRUE
"inflation","Underlying inflation (quarterly ppt)",8,0.123181934321489,0.151151523685503,-0.125440197631852,0.37180406627483,88,9,0.0716780809735341,TRUE
"inflation","Underlying inflation (quarterly ppt)",9,-0.0138130362706845,0.136031516693099,-0.237564969883039,0.20993889734167,87,10,0.0668450331100255,TRUE
"inflation","Underlying inflation (quarterly ppt)",10,-0.0331762811133143,0.0981099457400911,-0.194552781203915,0.128200218977287,86,11,0.0767272171032476,TRUE
"inflation","Underlying inflation (quarterly ppt)",11,-0.128775074795636,0.163663915033483,-0.397978259039538,0.140428109448266,85,12,0.0648159152045947,TRUE
"inflation","Underlying inflation (quarterly ppt)",12,-0.0429391547435712,0.0822572014828349,-0.17824021094549,0.0923619014583478,84,13,0.0886193640213829,TRUE
"inflation","Underlying inflation (quarterly ppt)",13,0.0428931703811625,0.135768356248927,-0.180425902820125,0.26621224358245,83,14,0.0776835865615577,TRUE
"inflation","Underlying inflation (quarterly ppt)",14,0.042724262672039,0.105383180174914,-0.130615643458349,0.216064168802427,82,15,0.0758717212154599,TRUE
"inflation","Underlying inflation (quarterly ppt)",15,-0.161140447113705,0.081912748778286,-0.295874929035233,-0.0264059651921764,81,16,0.100446600945496,TRUE
"inflation","Underlying inflation (quarterly ppt)",16,-0.134274298690591,0.0851993569131053,-0.274414769923045,0.00586617254186309,80,17,0.107143222490198,TRUE
"price_level","Price level (% from quarter t)",0,0,0,0,0,NA,NA,NA,FALSE
"price_level","Price level (% from quarter t)",1,0.00507422301747802,0.0867290032179206,-0.137582292487405,0.147730738522361,95,2,0.281840881423856,TRUE
"price_level","Price level (% from quarter t)",2,0.194971258467026,0.148670001210276,-0.0495691322425764,0.439511649176629,94,3,0.299603029107516,TRUE
"price_level","Price level (% from quarter t)",3,0.378507241269611,0.21384677678429,0.0267605948640899,0.730253887675133,93,4,0.301028767764211,TRUE
"price_level","Price level (% from quarter t)",4,0.449466588908625,0.272869635146341,0.000635979853241819,0.898297197964008,92,5,0.319003206442291,TRUE
"price_level","Price level (% from quarter t)",5,0.503242453016546,0.348828662581866,-0.0705296378158681,1.07701454384896,91,6,0.313132224109137,TRUE
"price_level","Price level (% from quarter t)",6,0.718483492304334,0.46724038753195,-0.050058553785806,1.48702553839447,90,7,0.295281657171522,TRUE
"price_level","Price level (% from quarter t)",7,0.922913541082137,0.626961544857279,-0.108346429935457,1.95417351209973,89,8,0.259422510425382,TRUE
"price_level","Price level (% from quarter t)",8,1.01955366463753,0.767569997566261,-0.242986629798469,2.28209395907353,88,9,0.229798135709568,TRUE
"price_level","Price level (% from quarter t)",9,1.01610250706017,0.847840448144686,-0.378470929146779,2.41067594326712,87,10,0.199008938636178,TRUE
"price_level","Price level (% from quarter t)",10,0.954227354382782,0.880166629008633,-0.493517917663718,2.40197262642928,86,11,0.167060609367567,TRUE
"price_level","Price level (% from quarter t)",11,0.793948240119365,0.966514629201237,-0.795826853223946,2.38372333346268,85,12,0.135728260310033,TRUE
"price_level","Price level (% from quarter t)",12,0.779319074277928,0.945554377729384,-0.775979473410092,2.33461762196595,84,13,0.115429854412847,TRUE
"price_level","Price level (% from quarter t)",13,0.83437845193198,1.0339103595367,-0.866252752894657,2.53500965675862,83,14,0.0955245932667962,TRUE
"price_level","Price level (% from quarter t)",14,0.872901945137371,1.05936574118492,-0.869599636518778,2.61540352679352,82,15,0.0819566031761391,TRUE
"price_level","Price level (% from quarter t)",15,0.590431519251199,1.07394395456619,-1.17604908955961,2.35691212806201,81,16,0.071713832135293,TRUE
"price_level","Price level (% from quarter t)",16,0.433192341757025,1.06634635644261,-1.32079133022409,2.18717601373814,80,17,0.0682760428658558,TRUE
