"variable","horizon","estimate","lower","upper"
"real_gdp",27,-0.0895657218195193,-0.668007933791008,0.542573967643334
"real_gdp",28,-0.0890018358808342,-0.665829180233959,0.539921738210773
"real_gdp",29,-0.0884413347570829,-0.661011670149056,0.536871922078857
"real_gdp",30,-0.0878845825758062,-0.65370866269488,0.531975476489071
"inflation",0,0,0,0
"inflation",1,-0.0116497849289218,-0.144496252883882,0.111687078416385
"inflation",2,0.255306357780635,0.0940342068480039,0.3788975382736
"inflation",3,0.169038014384889,-0.0061120790650513,0.300362146875561
"inflation",4,0.0930114217347956,-0.0312862578113606,0.17683893873886
"inflation",5,0.0406693145264258,-0.0571403893731787,0.102867281596136
"inflation",6,0.0062356219203919,-0.060563389072546,0.0493570597111659
"inflation",7,0.00854715182271634,-0.0441987162128386,0.0397468104043586
"inflation",8,0.0101836578887268,-0.0249958229671002,0.0395356405929128
"inflation",9,0.0092426767358467,-0.011125393479047,0.0329673784787959
"inflation",10,0.00620097388325753,-0.0075727019363373,0.0259987781518727
"inflation",11,0.00266201917996804,-0.00796036286657764,0.0166968046705097
"inflation",12,0.000949452394985425,-0.00713991958012667,0.0105532495511713
"inflation",13,0.000451017904660496,-0.00526595846304047,0.00828224710256714
"inflation",14,0.000412113648364942,-0.00376137672757101,0.00697072283853478
"inflation",15,0.000390473021120337,-0.00211281322601528,0.00570439679862511
"inflation",16,0.00024012656856559,-0.00182691352228624,0.00407978463212869
"inflation",17,7.56141856619553e-05,-0.00171568644822146,0.00295839843835667
"inflation",18,-3.26365342472702e-05,-0.0017621024612737,0.00241729852236129
"inflation",19,-7.86122272760895e-05,-0.00171671614332667,0.00196385980465213
"inflation",20,-8.94824404746659e-05,-0.00154602105711656,0.00157701948703449
"inflation",21,-9.32185616723081e-05,-0.00158541115746826,0.0014864348675033
"inflation",22,-9.94091473026735e-05,-0.00150868573537216,0.00135499848743391
"inflation",23,-0.000106856018755651,-0.00141562730849528,0.00118696998122092
"inflation",24,-0.000112420983421534,-0.00143870803524571,0.00116037743781603
"inflation",25,-0.000114990276903612,-0.00143607264444896,0.00114335079985835
"inflation",26,-0.000115516185426498,-0.00138453111641675,0.00110681188003718
"inflation",27,-0.000115264440290718,-0.00139442460573293,0.00107629029081864
"inflation",28,-0.000114923581365406,-0.00139146378987947,0.00105718020203753
"inflation",29,-0.000114615254946139,-0.00140828606529912,0.00101875951859883
"inflation",30,-0.000114238900550175,-0.00142062046034806,0.00101392949634818
"price_level",0,0,0,0
"price_level",1,-0.0116497849289218,-0.144496252883882,0.111687078416385
"price_level",2,0.243656572851714,-0.00877812816736451,0.446592445134046
"price_level",3,0.412694587236603,0.0516026381358643,0.673861665563987
"price_level",4,0.505706008971399,0.0535174086206976,0.822227675314984
"price_level",5,0.546375323497824,0.0490448563382029,0.889225825474905
"price_level",6,0.552610945418216,0.0504312053125418,0.907076892213249
"price_level",7,0.561158097240933,0.0470753351065942,0.939166918969629
"price_level",8,0.571341755129659,0.0530902983568489,0.948759072934388
"price_level",9,0.580584431865506,0.0569718614794034,0.970274308534725
"price_level",10,0.586785405748764,0.0544575593163765,0.98775779761091
"price_level",11,0.589447424928732,0.0529138412265093,1.00716771689388
"price_level",12,0.590396877323717,0.0587549456164689,1.00974709402428
"price_level",13,0.590847895228377,0.0577091318053266,1.01338541152138
"price_level",14,0.591260008876742,0.056879201803327,1.01419992399668
"price_level",15,0.591650481897863,0.0570666004487112,1.01249672308933
"price_level",16,0.591890608466428,0.0570683570833336,1.01411309743472
"price_level",17,0.59196622265209,0.0575853924624934,1.01581028182161
"price_level",18,0.591933586117843,0.0574903953125884,1.01555364670919
"price_level",19,0.591854973890567,0.0571789705870613,1.01451225104229
"price_level",20,0.591765491450092,0.0569104107495908,1.01371688578678
"price_level",21,0.59167227288842,0.0566885182098648,1.01201374732877
"price_level",22,0.591572863741117,0.0564631279635769,1.01030011358732
"price_level",23,0.591466007722362,0.0562290614288842,1.0093207268539
"price_level",24,0.59135358673894,0.0559915994615683,1.00916721133479
"price_level",25,0.591238596462037,0.0557560659771757,1.00858601856537
"price_level",26,0.59112308027661,0.0555242851708895,1.00799870839595
